[E 260313 13:24:40 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '14977', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:24', 'todate': '2026-03-13 13:24'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260313 13:24:42 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '1394', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:24', 'todate': '2026-03-13 13:24'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260313 13:24:44 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '16669', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:24', 'todate': '2026-03-13 13:24'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260313 13:24:46 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '11532', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:24', 'todate': '2026-03-13 13:24'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260313 13:24:49 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '15083', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:24', 'todate': '2026-03-13 13:24'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260313 13:24:51 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '1363', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:24', 'todate': '2026-03-13 13:24'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260313 13:24:53 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '1922', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:24', 'todate': '2026-03-13 13:24'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260313 13:24:55 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '20374', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:24', 'todate': '2026-03-13 13:24'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260313 13:24:57 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '2475', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:24', 'todate': '2026-03-13 13:24'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260313 13:24:59 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '694', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:24', 'todate': '2026-03-13 13:24'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260313 13:25:43 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '3499', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:25', 'todate': '2026-03-13 13:25'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260313 13:25:45 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '5900', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:25', 'todate': '2026-03-13 13:25'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260313 13:25:46 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'e4:b9:7a:11:2d:a8', 'Accept': 'application/json', 'X-PrivateKey': 'RB71ri1D', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '3045', 'interval': 'ONE_DAY', 'fromdate': '2025-03-13 13:25', 'todate': '2026-03-13 13:25'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
